month,SA2_code,SA2_name,territorial_authority,total_dwelling_units,houses,apartments,retirement_village_units,townhouses_flats_units_other
1990-04-01,100100,North Cape,Far North District,2,2,0,0,0
1990-04-01,100200,Rangaunu Harbour,Far North District,1,1,0,0,0
1990-04-01,100300,Inlets Far North District,Far North District,0,0,0,0,0
1990-04-01,100400,Karikari Peninsula,Far North District,2,2,0,0,0
1990-04-01,100500,Tangonge,Far North District,1,1,0,0,0
1990-04-01,100600,Ahipara,Far North District,2,2,0,0,0
1990-04-01,100700,Kaitaia East,Far North District,3,2,0,0,0
1990-04-01,100800,Kaitaia West,Far North District,0,0,0,0,0
1990-04-01,100900,Rangitihi,Far North District,0,0,0,0,0
1990-04-01,101000,Oruru-Parapara,Far North District,1,1,0,0,0
1990-04-01,101100,Taumarumaru,Far North District,2,2,0,0,0
1990-04-01,101200,Herekino-Takahue,Far North District,0,0,0,0,0
1990-04-01,101300,Peria,Far North District,0,0,0,0,0
1990-04-01,101400,Taemaro-Oruaiti,Far North District,0,0,0,0,0
1990-04-01,101500,Whakapaku,Far North District,0,0,0,0,0
1990-04-01,101600,Hokianga North,Far North District,0,0,0,0,0
1990-04-01,101700,Kohukohu-Broadwood,Far North District,0,0,0,0,0
1990-04-01,101800,Whakarara,Far North District,0,0,0,0,0
1990-04-01,101900,Kaeo,Far North District,0,0,0,0,0
1990-04-01,102000,Omahuta Forest-Horeke,Far North District,1,1,0,0,0
1990-04-01,102100,Hokianga South,Far North District,0,0,0,0,0
1990-04-01,102200,Lake Manuwai-Kapiro,Far North District,0,0,0,0,0
1990-04-01,102300,Okaihau,Far North District,0,0,0,0,0
1990-04-01,102400,Rangitane-Purerua,Far North District,0,0,0,0,0
1990-04-01,102500,Waipapa,Far North District,1,1,0,0,0
1990-04-01,102600,Puketotara,Far North District,0,0,0,0,0
1990-04-01,102700,Waima Forest,Far North District,1,1,0,0,0
1990-04-01,102800,Riverview,Far North District,1,1,0,0,0
1990-04-01,102900,Waipoua Forest,Far North District,2,1,0,0,1
1990-04-01,103000,Kerikeri Central,Far North District,0,0,0,0,0
1990-04-01,103100,Kerikeri South,Far North District,1,1,0,0,0
1990-04-01,103200,Ohaeawai-Waimate North,Far North District,0,0,0,0,0
1990-04-01,103300,Puketona-Waitangi,Far North District,0,0,0,0,0
1990-04-01,103400,Ngapuhi,Far North District,0,0,0,0,0
1990-04-01,103500,Kaikohe,Far North District,0,0,0,0,0
1990-04-01,103600,Pakaraka,Far North District,1,1,0,0,0
1990-04-01,103700,Haruru,Far North District,0,0,0,0,0
1990-04-01,103800,Russell,Far North District,0,0,0,0,0
1990-04-01,103900,Paihia,Far North District,2,2,0,0,0
1990-04-01,104000,Mataraua Forest,Far North District,0,0,0,0,0
1990-04-01,104100,Matawaia-Taumarere,Far North District,0,0,0,0,0
1990-04-01,104200,Russell Peninsula,Far North District,1,0,1,0,0
1990-04-01,104300,Opua (Far North District),Far North District,0,0,0,0,0
1990-04-01,104400,Russell Forest-Rawhiti,Far North District,1,1,0,0,0
1990-04-01,104500,Moerewa,Far North District,0,0,0,0,0
1990-04-01,104600,Kawakawa,Far North District,0,0,0,0,0
1990-04-01,104700,Maromaku,Far North District,2,2,0,0,0
1990-04-01,104800,Mangakahia-Hukerenui,Whangarei District,0,0,0,0,0
1990-04-01,104900,Whangaruru,Whangarei District,0,0,0,0,0
1990-04-01,105000,Inlets other Whangarei District,Whangarei District,0,0,0,0,0
1990-04-01,105100,Matarau,Whangarei District,0,0,0,0,0
1990-04-01,105200,Hikurangi,Whangarei District,0,0,0,0,0
1990-04-01,105300,Kauri,Whangarei District,0,0,0,0,0
1990-04-01,105400,Maungatapere,Whangarei District,0,0,0,0,0
1990-04-01,105500,Kamo West,Whangarei District,0,0,0,0,0
1990-04-01,105600,Matapouri-Tutukaka,Whangarei District,1,1,0,0,0
1990-04-01,105700,Kiripaka,Whangarei District,0,0,0,0,0
1990-04-01,105800,Kamo East,Whangarei District,1,0,0,0,1
1990-04-01,105900,Granfield Reserve,Whangarei District,2,0,0,0,2
1990-04-01,106000,Kamo Central,Whangarei District,0,0,0,0,0
1990-04-01,106100,Whau Valley,Whangarei District,1,1,0,0,0
1990-04-01,106200,Tikipunga North,Whangarei District,0,0,0,0,0
1990-04-01,106300,Pukenui,Whangarei District,0,0,0,0,0
1990-04-01,106400,Otangarei,Whangarei District,0,0,0,0,0
1990-04-01,106500,Tikipunga South,Whangarei District,0,0,0,0,0
1990-04-01,106600,Kensington (Whangarei District),Whangarei District,1,1,0,0,0
1990-04-01,106700,Abbey Caves-Glenbervie,Whangarei District,0,0,0,0,0
1990-04-01,106800,Mairtown,Whangarei District,1,1,0,0,0
1990-04-01,106900,Maunu-Horahora,Whangarei District,4,1,0,0,3
1990-04-01,107000,Woodhill-Vinetown,Whangarei District,4,0,0,0,4
1990-04-01,107100,Whangarei Central,Whangarei District,0,0,0,0,0
1990-04-01,107200,Riverside,Whangarei District,2,1,0,0,1
1990-04-01,107300,Raumanga,Whangarei District,1,0,0,0,1
1990-04-01,107400,Tarewa,Whangarei District,1,0,0,0,1
1990-04-01,107500,Morningside (Whangarei District),Whangarei District,1,0,0,0,1
1990-04-01,107600,Ngunguru,Whangarei District,1,0,0,0,1
1990-04-01,107700,Otaika-Portland,Whangarei District,0,0,0,0,0
1990-04-01,107800,Oakleigh-Mangapai,Whangarei District,0,0,0,0,0
1990-04-01,107900,Port-Limeburners,Whangarei District,0,0,0,0,0
1990-04-01,108000,Pataua,Whangarei District,2,1,0,0,1
1990-04-01,108100,Onerahi Park,Whangarei District,0,0,0,0,0
1990-04-01,108200,Sherwood Rise,Whangarei District,1,1,0,0,0
1990-04-01,108300,Onerahi,Whangarei District,1,1,0,0,0
1990-04-01,108400,Inlet Whangarei Harbour,Whangarei District,0,0,0,0,0
1990-04-01,108500,Parua Bay,Whangarei District,1,1,0,0,0
1990-04-01,108600,Bream Bay,Whangarei District,2,1,0,0,1
1990-04-01,108700,Marsden Bay,Whangarei District,0,0,0,0,0
1990-04-01,108800,Ruakaka,Whangarei District,3,3,0,0,0
1990-04-01,108900,Bream Head,Whangarei District,1,1,0,0,0
1990-04-01,109000,Waipu,Whangarei District,0,0,0,0,0
1990-04-01,109100,Kaipara Coastal,Kaipara District,2,2,0,0,0
1990-04-01,109200,Maungaru,Kaipara District,0,0,0,0,0
1990-04-01,109300,Dargaville,Kaipara District,1,1,0,0,0
1990-04-01,109400,Ruawai-Matakohe,Kaipara District,0,0,0,0,0
1990-04-01,109500,Otamatea (Kaipara District),Kaipara District,2,2,0,0,0
1990-04-01,109600,Maungaturoto,Kaipara District,0,0,0,0,0
1990-04-01,109700,Kaiwaka,Kaipara District,1,1,0,0,0
1990-04-01,109800,Mangawhai Rural,Kaipara District,1,1,0,0,0
1990-04-01,109900,Mangawhai Heads,Kaipara District,6,6,0,0,0
1990-04-01,110000,Inlet Mangawhai Harbour,Kaipara District,0,0,0,0,0
1990-04-01,110100,Mangawhai,Kaipara District,0,0,0,0,0
1990-04-01,110200,Okahukura Peninsula,Auckland,4,0,0,0,4
1990-04-01,110300,Inlet Kaipara Harbour South,Auckland,0,0,0,0,0
1990-04-01,110400,Cape Rodney,Auckland,1,1,0,0,0
1990-04-01,110500,Wellsford,Auckland,0,0,0,0,0
1990-04-01,110600,Oceanic Auckland Region East,Auckland,0,0,0,0,0
1990-04-01,110700,South Head,Auckland,0,0,0,0,0
1990-04-01,110800,Kaipara Hills,Auckland,0,0,0,0,0
1990-04-01,110900,Dome Valley-Matakana,Auckland,0,0,0,0,0
1990-04-01,111000,Oceanic Auckland Region West,Auckland,0,0,0,0,0
1990-04-01,111100,Warkworth West,Auckland,1,1,0,0,0
1990-04-01,111200,Puhoi Valley,Auckland,0,0,0,0,0
1990-04-01,111300,Warkworth East,Auckland,0,0,0,0,0
1990-04-01,111400,Sandspit,Auckland,0,0,0,0,0
1990-04-01,111500,Tawharanui Peninsula,Auckland,1,1,0,0,0
1990-04-01,111600,Te Kuru,Auckland,0,0,0,0,0
1990-04-01,111700,Snells Beach,Auckland,3,3,0,0,0
1990-04-01,111800,Barrier Islands,Auckland,0,0,0,0,0
1990-04-01,111900,Algies Bay-Scotts Landing,Auckland,0,0,0,0,0
1990-04-01,112000,Inlets other Auckland,Auckland,0,0,0,0,0
1990-04-01,112100,Wainui-Waiwera,Auckland,2,2,0,0,0
1990-04-01,112200,Parakai,Auckland,1,1,0,0,0
1990-04-01,112300,Helensville Rural,Auckland,0,0,0,0,0
1990-04-01,112400,Helensville,Auckland,1,1,0,0,0
1990-04-01,112500,Waitoki,Auckland,1,1,0,0,0
1990-04-01,112600,Waikoukou Valley,Auckland,0,0,0,0,0
1990-04-01,112700,Orewa North,Auckland,2,0,0,0,2
1990-04-01,112800,Hatfields Beach,Auckland,0,0,0,0,0
1990-04-01,112900,Orewa South,Auckland,3,3,0,0,0
1990-04-01,113000,Orewa Central,Auckland,0,0,0,0,0
1990-04-01,113100,Millwater North,Auckland,0,0,0,0,0
1990-04-01,113200,Waipatukahu,Auckland,0,0,0,0,0
1990-04-01,113300,Millwater South,Auckland,0,0,0,0,0
1990-04-01,113400,Dairy Flat North,Auckland,0,0,0,0,0
1990-04-01,113500,Dairy Flat West,Auckland,1,1,0,0,0
1990-04-01,113600,Kingsway,Auckland,0,0,0,0,0
1990-04-01,113700,Riverhead Forest,Auckland,0,0,0,0,0
1990-04-01,113800,Silverdale Central (Auckland),Auckland,0,0,0,0,0
1990-04-01,113900,Red Beach West,Auckland,0,0,0,0,0
1990-04-01,114000,Red Beach East,Auckland,2,1,0,0,1
1990-04-01,114100,Silverdale South (Auckland),Auckland,1,1,0,0,0
1990-04-01,114200,Waimauku,Auckland,0,0,0,0,0
1990-04-01,114300,Gulf Islands,Auckland,1,1,0,0,0
1990-04-01,114400,Vipond,Auckland,0,0,0,0,0
1990-04-01,114500,Muriwai,Auckland,1,1,0,0,0
1990-04-01,114600,Stanmore Bay West,Auckland,3,0,0,0,3
1990-04-01,114700,Kumeu Rural West,Auckland,0,0,0,0,0
1990-04-01,114800,Okura Bush,Auckland,0,0,0,0,0
1990-04-01,114900,Whangaparoa Central,Auckland,2,2,0,0,0
1990-04-01,115000,Kumeu-Huapai,Auckland,0,0,0,0,0
1990-04-01,115100,Stanmore Bay East,Auckland,1,0,0,0,1
1990-04-01,115200,Manly West,Auckland,0,0,0,0,0
1990-04-01,115300,Muriwai Valley-Bethells Beach,Auckland,0,0,0,0,0
1990-04-01,115400,Tindalls-Matakatia,Auckland,0,0,0,0,0
1990-04-01,115500,Coatesville,Auckland,1,1,0,0,0
1990-04-01,115600,Dairy Flat South,Auckland,0,0,0,0,0
1990-04-01,115700,Gulf Harbour North,Auckland,1,1,0,0,0
1990-04-01,115800,Manly East,Auckland,3,2,0,0,1
1990-04-01,115900,Riverhead,Auckland,1,1,0,0,0
1990-04-01,116000,Army Bay,Auckland,1,1,0,0,0
1990-04-01,116100,Kumeu Rural East,Auckland,1,1,0,0,0
1990-04-01,116200,Gulf Harbour South,Auckland,1,1,0,0,0
1990-04-01,116300,Paremoremo West,Auckland,1,1,0,0,0
1990-04-01,116400,Taupaki,Auckland,1,1,0,0,0
1990-04-01,116500,Long Bay,Auckland,0,0,0,0,0
1990-04-01,116600,Paremoremo East,Auckland,0,0,0,0,0
1990-04-01,116700,Albany Heights,Auckland,0,0,0,0,0
1990-04-01,116800,Awaruku,Auckland,1,1,0,0,0
1990-04-01,116900,Fairview Heights,Auckland,0,0,0,0,0
1990-04-01,117000,Whenuapai,Auckland,0,0,0,0,0
1990-04-01,117100,Waitakere Ranges North,Auckland,0,0,0,0,0
1990-04-01,117200,Torbay,Auckland,2,0,0,0,2
1990-04-01,117300,Albany Central,Auckland,0,0,0,0,0
1990-04-01,117400,Albany West,Auckland,0,0,0,0,0
1990-04-01,117500,Glamorgan,Auckland,1,0,0,0,1
1990-04-01,117600,Oteha East,Auckland,0,0,0,0,0
1990-04-01,117700,Northcross,Auckland,3,2,0,0,1
1990-04-01,117800,Oteha West,Auckland,0,0,0,0,0
1990-04-01,117900,Waiake,Auckland,2,2,0,0,0
1990-04-01,118000,Waitakere,Auckland,0,0,0,0,0
1990-04-01,118100,Albany South,Auckland,0,0,0,0,0
1990-04-01,118200,Browns Bay South West,Auckland,1,0,0,0,1
1990-04-01,118300,Browns Bay Central,Auckland,0,0,0,0,0
1990-04-01,118400,Schnapper Rock,Auckland,0,0,0,0,0
